NRO	ANIO	TIPO	ORIGEN	CARATULA	MESA	DAE	AUTOR	COM1	COM2	COM3	COM4	COM5
905	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLACITO POR LA CONMEMORACIÓN DEL DIA NACIONAL DEL BOMBERO VOLUNTARIO, EL 2 DE JUNIO DE 2024.	28/05/2024	45/2024		DE EDUCACIÓN Y CULTURA				
902	2024	PD	S	"ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLACITO POR LA CONMEMORACIÓN DEL ""40° ANIVERSARIO DEL INSTITUTO DE EDUCACION SUPERIOR PAMPA DEL INFIERNO"", DE LA PROV. DEL CHACO, EL 29 DE MAYO DE 2024."	28/05/2024	45/2024		DE EDUCACIÓN Y CULTURA				
900	2024	PL	S	ABDALA: PROYECTO DE LEY QUE DECLARA POBLADO HISTORICO NACIONAL EN LOS TÉRMINOS DE LA LEY 12.665, A LA LOCALIDAD DE RENCA, DEPARTAMENTO CHACABUCO, PROV. DE SAN LUIS.	27/05/2024	45/2024	ABDALA, BARTOLOMÉ ESTEBAN	DE EDUCACIÓN Y CULTURA				
894	2024	PD	S	MOISES: PROYECTO DE DECLARACION QUE EXPRESA PREOCUPACION POR EL DESFINANCIAMIENTO Y PAUSA DE LA CONSTRUCCION Y DISEÑO DEL REACTOR MODULAR DENOMINADO CAREM-25, PROYECTO DE LA COMISION NACIONAL DE ENERGIA ATOMICA, EL 30 DE ABRIL DE 2024.	23/05/2024	44/2024	MOISES, MARÍA CAROLINA - KIRCHNER, ALICIA MARGARITA ANTONIA - GONZÁLEZ, MARÍA TERESA MARGARITA - CORPACCI, LUCÍA BENIGNA - LÓPEZ, CÁNDIDA CRISTINA - GIMÉNEZ NAVARRO, MARÍA CELESTE - REJAL, JESÚS FERNANDO	DE CIENCIA Y TECNOLOGÍA				
893	2024	PD	S	"MOISES: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR EL VIGESIMO QUINTO ANIVERSARIO DE LA ESCUELA PRIMARIA N° 443 ""DR. ROBERTO RUBEN DOMINGUEZ, DE LA CDAD. DE SAN PEDRO DE JUJUY, PROV. DE JUJUY, EL 29 DE ABRIL DE 2024."	23/05/2024	44/2024	MOISES, MARÍA CAROLINA - GONZÁLEZ, MARÍA TERESA MARGARITA - MENDOZA, SANDRA MARIELA - LÓPEZ, CÁNDIDA CRISTINA	DE EDUCACIÓN Y CULTURA				
892	2024	PL	S	MOISES: PROYECTO DE LEY QUE INCORPORA COMO CONTENIDO CURRICULAR LOS CONCEPTOS DE PROTECCIÓN DE DATOS, GROOMING, CIBERBULLYING, PHISHING, CIBERACOSO, CONCIENCIA DIGITAL, IDENTIDAD DIGITAL, SALUD DIGITAL Y PRIVACIDAD ONLINE A LA LEY NACIONAL DE EDUCACIÓN 26.206.	23/05/2024	44/2024	MOISES, MARÍA CAROLINA - GONZÁLEZ, MARÍA TERESA MARGARITA - CORPACCI, LUCÍA BENIGNA - MENDOZA, SANDRA MARIELA - LÓPEZ, CÁNDIDA CRISTINA - REJAL, JESÚS FERNANDO - KIRCHNER, ALICIA MARGARITA ANTONIA	DE EDUCACIÓN Y CULTURA	DE POBLACIÓN Y DESARROLLO  HUMANO			
891	2024	PL	S	MOISES: PROYECTO DE LEY DE PUBLICIDAD DE OPERADORES DE JUEGOS Y PLATAFORMAS DE APUESTAS PARA LOS JUEGOS EN LÍNEA.	23/05/2024	44/2024	MOISES, MARÍA CAROLINA - GONZÁLEZ, MARÍA TERESA MARGARITA - LÓPEZ, CÁNDIDA CRISTINA - REJAL, JESÚS FERNANDO	DE SALUD	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES		
889	2024	PC	S	FAMA: REPRODUCE PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE LOS SISTEMAS DE NAVEGACION AEREA Y APROXIMACION AL AEROPUERTO CORONEL FELIPE VARELA DE LA PROV. DE CATAMARCA. (REF. S. 1506/22)	23/05/2024	44/2024	FAMA, FLAVIO SERGIO	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
886	2024	PL	S	HUALA: REPRODUCE PROYECTO DE LEY SOBRE IMPLEMENTACIÓN OBLIGATORIA DE ACTIVIDADES DE APROXIMACIÓN AL MUNDO DEL TRABAJO EN TODOS LOS ESTABLECIMIENTOS EDUCATIVOS DE NIVEL SECUNDARIO DE GESTIÓN ESTATAL Y PRIVADA DEL PAÍS. (REF. S. 1442/22)	22/05/2024	44/2024	HUALA, MARÍA VICTORIA	DE EDUCACIÓN Y CULTURA	DE TRABAJO Y PREVISIÓN SOCIAL			
884	2024	PC	S	LEWANDOWSKI: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE DIVERSOS PUNTOS RELACIONADOS A LA HIDROVIA PARAGUAY - PARANA.	22/05/2024	44/2024	LEWANDOWSKI, MARCELO NÉSTOR	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
881	2024	PD	S	GARCIA LARRABURU: PROYECTO DE DECLARACIÓN QUE DECLARA DE INTERES LAS ACTIVIDADES QUE REALIZA EL GRUPO DE TEATRO Y LA ASOCIACIÓN CIVIL EL BROTE, EN SAN CARLOS DE BARILOCHE, PROV. DE RIO NEGRO.	22/05/2024	44/2024		DE EDUCACIÓN Y CULTURA				
880	2024	PL	S	LEAVY Y OTROS: PROYECTO DE LEY SOBRE INCLUSION DEL CERTIFICADO UNICO DE DISCAPACIDAD (CUD) AL SISTEMA DIGITAL UTILIZADO PARA ACCESO AL TRANSPORTE PUBLICO DE PASAJEROS.	22/05/2024	44/2024	CORPACCI, LUCÍA BENIGNA	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE	DE POBLACIÓN Y DESARROLLO  HUMANO			
879	2024	PL	S	BENSUSAN: PROYECTO DE LEY QUE CREA EL PROGAMA NACIONAL DE SALUD MENTAL PARA ADOLESCENTES.	22/05/2024	44/2024	BENSUSÁN, DANIEL PABLO	DE SALUD	DE EDUCACIÓN Y CULTURA	DE PRESUPUESTO Y HACIENDA		
877	2024	PL	S	PARRILLI Y OTROS: PROYECTO DE LEY SOBRE PLAN NACIONAL DE PREVENCIÓN DEL EMBARAZO NO INTENCIONAL EN LA ADOLESCENCIA.	22/05/2024	44/2024	MOISES, MARÍA CAROLINA	DE SALUD	DE EDUCACIÓN Y CULTURA	DE PRESUPUESTO Y HACIENDA		
876	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR LA 21° EDICIÓN DE LA EXPO AGRONEA, A REALIZARSE EN LA LOC. CHAQUEÑA DE CHARATA, DEL 28 AL 30 DE JUNIO DE 2024.	22/05/2024	44/2024		DE AGRICULTURA, GANADERÍA Y PESCA				
875	2024	PD	S	"ABAD: PROYECTO DE DECLARACION QUE EXPRESA BENEPLACITO POR EL RECONOCIMIENTO AL MURAL ""MENSAJERAS"", REALIZADO POR EL GRUPO SISMO EN LA CDAD. DE MAR DEL PLATA."	21/05/2024	44/2024	ABAD, MAXIMILIANO	DE EDUCACIÓN Y CULTURA				
873	2024	PD	S	GIMENEZ: PROYECTO DE DECLARACION QUE EXPRESA PESAR POR EL FALLECIMIENTO DE ABEL PEDRO MADARIAGA, SECRETARIO DE ABUELAS DE PLAZA DE MAYO, EL 5 DE MARZO DE 2024.	21/05/2024	43/2024		DE EDUCACIÓN Y CULTURA				
870	2024	PD	S	"GARCIA LARRABURU Y OTROS: PROYECTO DE DECLARACIÓN QUE REPUDIA LAS DECLARACIONES DEL PRESIDENTE DE LA NACIÓN, JAVIER MILEI, SOBRE LA ESPOSA DEL PRESIDENTE DE ESPAÑA PEDRO SANCHEZ, DURANTE EL ACTO ""EUROPA VIVA 2024"", EL 19 DE MAYO."	21/05/2024	43/2024	KIRCHNER, ALICIA MARGARITA ANTONIA	DE ASUNTOS CONSTITUCIONALES				
867	2024	PC	S	BLANCO: PROYECTO DE COMUNICACIÓN QUE CITA A LA MINISTRA DE RR.EE Y CULTO DIANA MONDINO, EN LOS TÉRMINOS DEL ART. 71 DE LA C.N., A FIN DE BRINDAR INFORMES SOBRE EL CONFLICTO DIPLOMÁTICO DESATADO CON EL REINO DE ESPAÑA A RAÍZ DE DECLARACIONES PÚBLICAS REALIZADAS POR EL PRESIDENTE DE LA NACIÓN.	21/05/2024	43/2024		DE ASUNTOS CONSTITUCIONALES	DE RELACIONES EXTERIORES Y CULTO			
864	2024	PC	S	LEDESMA ABDALA Y OTROS: PROYECTO DE COMUNICACIÓN QUE SOLICITA SE DEJE SIN EFECTO LA RESOLUCION N° 4/2024 DE LA SECRETARIA DE TRANSPORTE, Y ESTABLEZCA UN ESQUEMA EQUITATIVO Y FEDERAL DE SUBSIDIOS PARA EL TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS POR AUTOMOTOR DE TODO EL PAÍS.	21/05/2024	43/2024	NEDER, JOSÉ EMILIO	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
862	2024	PL	S	"VALENZUELA: PROYECTO DE LEY QUE DECLARA CON CARACTER NACIONAL LA ""FIESTA DE ARTESANIAS TRADICIONALES ARANDU PO"", A CELEBRARSE EN LA LOC. DE EMPEDRADO, PROV. DE CORRIENTES, DURANTE EL MES DE MAYO DE CADA AÑO."	21/05/2024	43/2024	VALENZUELA, MERCEDES GABRIELA	DE EDUCACIÓN Y CULTURA	DE EDUCACIÓN Y CULTURA			
858	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACION QUE EXPRESA RECONOCIMIENTO AL EQUIPO DE PROGRAMACIÓN EXACTAS-UBA, CORONADO CAMPEON LATINOAMERICANO EN LA FINAL DE LA COMPETENCIA INTERNACIONAL DE PROGRAMACIÓN ICPC, REALIZADO EN LUXOR, EGIPTO, DEL 14 AL 19 DE ABRIL DE 2024.	21/05/2024	43/2024		DE EDUCACIÓN Y CULTURA				
855	2024	PD	S	ABAD: PROYECTO DE DECLARACION QUE EXPRESA PREOCUPACION Y RECHAZA LAS MANIFESTACIONES VERTIDAS POR EL PRESIDENTE EN EL EVENTO EUROPA VIVA 24, EL 19 DE MAYO DE 2024.	20/05/2024	43/2024	ABAD, MAXIMILIANO	DE ASUNTOS CONSTITUCIONALES				
854	2024	PC	S	ZIMMERMANN: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME A TRAVÉS DE LA SUPERINTENDENCIA DE SEGUROS DE LA NACIÓN, RESPECTO A LA RES. 217/2024, LA CUAL MODIFICA EL REGLAMENTO GENERAL DE LA ACTIVIDAD ASEGURADORA.	20/05/2024	42/2024		DE ECONOMÍA NACIONAL E INVERSIÓN				
853	2024	PD	S	"ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE ADHIERE AL ""DIA INTERNACIONAL DE LOS MUSEOS"", EL 18 DE MAYO DE 2024."	20/05/2024	42/2024		DE EDUCACIÓN Y CULTURA				
852	2024	PD	S	ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLÁCITO POR LA REALIZACIÓN DEL XXIV CONGRESO ARGENTINO DE OTORRINOLARINGOLOGÍA Y FONOAUDIOLOGÍA PEDIÁTRICA Y OTROS EVENTOS AFINES, A REALIZARSE EN CABA DEL 24 AL 26 DE MAYO DE 2024.	20/05/2024	42/2024		DE SALUD				
849	2024	PD	S	"ZIMMERMANN: PROYECTO DE DECLARACIÓN QUE ADHIERE AL ""DIA MUNDIAL DE LA DIVERSIDAD CULTURAL PARA EL DIALOGO Y EL DESARROLLO"", QUE SE CONMEMORA EL 21 DE MAYO DE CADA AÑO."	20/05/2024	42/2024		DE EDUCACIÓN Y CULTURA				
846	2024	PC	S	PILATTI VERGARA: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE DIVERSOS PUNTOS RELACIONADOS CON EL VIAJE DEL SEÑOR PRESIDENTE DE LA NACION JAVIER GERARDO MILEI Y SU COMITIVA A ESPAÑA, DEL 16 AL 20 DE MAYO DE 2024.	17/05/2024	42/2024		DE ASUNTOS CONSTITUCIONALES				
845	2024	PC	S	GADANO Y CARAMBIA: PROYECTO DE COMUNICACIÓN QUE SOLICITA MANTENER EL PLENO FUNCIONAMIENTO DE LAS SUCURSALES DEL BANCO DE LA NACIÓN ARGENTINA, UBICADAS EN LOS MUNICIPIOS DE VEINTIOCHO DE NOVIEMBRE Y PUERTO SANTA CRUZ, PROV. HOMÓNIMA, Y OTRAS CUESTIONES CONEXAS.	16/05/2024	42/2024	GADANO, NATALIA ELENA - CARAMBIA, JOSÉ MARÍA	DE ECONOMÍA NACIONAL E INVERSIÓN				
844	2024	PL	S	"GADANO Y CARAMBIA: PROYECTO DE LEY QUE DESIGNA CON EL NOMBRE DE ""LIVIO DANTE PORTA"", AL TRAMO DE LA RUTA NACIONAL N° 40 DEL KILÓMETRO 394 Y 374 EN LA LOC. DE VEINTIOCHO DE NOVIEMBRE, DE LA PROV. DE SANTA CRUZ."	16/05/2024	42/2024	GADANO, NATALIA ELENA - CARAMBIA, JOSÉ MARÍA	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE	DE PRESUPUESTO Y HACIENDA			
843	2024	PL	S	GADANO Y CARAMBIA: PROYECTO DE LEY QUE DISPONE QUE LAS EMPRESAS PRESTADORAS DE SERVICIOS DE TURISMO QUE BRINDEN EXCURSIONES Y ACTIVIDADES QUE REPRESENTE UN RIESGO PARA LAS PERSONAS DENTRO DE AREAS Y PARQUES NACIONALES DEBERÁN ENTREGAR UN DISPOSITIVO DE SEGUIMIENTO SATELITAL.	16/05/2024	42/2024	GADANO, NATALIA ELENA - CARAMBIA, JOSÉ MARÍA	DE INDUSTRIA Y COMERCIO	DE TURISMO	DE PRESUPUESTO Y HACIENDA		
842	2024	PL	S	"GADANO Y CARAMBIA: PROYECTO DE LEY QUE DESIGNA CON EL NOMBRE DE ""FACÓN GRANDE"" AL TRAMO DE LA RUTA NACIONAL N° 3, COMPRENDIDO ENTRE EL KILÓMETRO 1887 EN LA LOC. DE FITZ ROY Y EL KILÓMETRO 2161 EN LA LOC. DE SAN JULIÁN, DE LA PROV. DE SANTA CRUZ."	16/05/2024	42/2024	GADANO, NATALIA ELENA - CARAMBIA, JOSÉ MARÍA	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE	DE PRESUPUESTO Y HACIENDA			
840	2024	PL	S	HUALA Y KRONEBERGER: REPRODUCE PROYECTO DE LEY QUE CREA UNA LINEA TELEFONICA NACIONAL DE ASISTENCIA Y PREVENCION DEL SUICIDIO.  (REF. S. 3073/22)	16/05/2024	42/2024	HUALA, MARÍA VICTORIA - KRONEBERGER, DANIEL RICARDO	DE SALUD	DE SISTEMAS, MEDIOS DE COMUNICACIÓN Y LIBERTAD DE EXPRESIÓN			
839	2024	PL	S	HUALA: REPRODUCE PROYECTO DE LEY DE CAPACITACIÓN OBLIGATORIA EN TRASTORNO DEL ESPECTRO AUTISTA PARA TODAS LAS PERSONAS QUE INTEGRAN LOS TRES PODERES DEL ESTADO.  (REF. S. 861/22)	16/05/2024	42/2024	HUALA, MARÍA VICTORIA	DE SALUD	DE POBLACIÓN Y DESARROLLO  HUMANO	DE PRESUPUESTO Y HACIENDA		
838	2024	PC	S	REJAL: PROYECTO DE COMUNICACIÓN QUE SOLICTA INFORME SOBRE LOS INCUMPLIMIENTOS DE LA DIRECCIÓN DE ASISTENCIA DIRECTA PARA SITUACIONES ESPECIALES, ENCARGADA DE PROPORCIONAR MEDICAMENTOS Y OTROS INSUMOS MÉDICOS A PERSONAS SIN COBERTURA Y OTRAS CUESTIONES CONEXAS	16/05/2024	42/2024	REJAL, JESÚS FERNANDO	DE SALUD				
833	2024	PD	S	AVILA: PROYECTO DE DECLARACION QUE DECLARA DE INTERES LA REALIZACION DEL XXIV CONGRESO ARGENTINO DE OTORRINOLARINGOLOGIA Y FONOAUDIOLOGIA PEDIATRICA, EN LA SEDE DE LA UNIVERSIDAD CATOLICA ARGENTINA, CABA, DEL 24 AL 26 DE MAYO DE 2024.	16/05/2024	41/2024	AVILA, BEATRIZ LUISA	DE SALUD				
832	2024	PL	S	AVILA: PROYECTO DE LEY SOBRE REGIMEN NACIONAL DE REGULACION DE JUEGOS Y APUESTAS ONLINE.	16/05/2024	41/2024	AVILA, BEATRIZ LUISA	DE SALUD	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES		
831	2024	PL	S	AVILA: PROYECTO DE LEY QUE ESTABLECE UN PROGRAMA DE PREVENCION DEL JUEGO POR PARTE DE MENORES DE EDAD A TRAVES DE LAS APUESTAS EN LINEA EN EL AMBITO EDUCATIVO.	16/05/2024	41/2024	AVILA, BEATRIZ LUISA	DE SALUD	DE LEGISLACIÓN GENERAL	DE JUSTICIA Y ASUNTOS PENALES		
830	2024	PL	S	"CORPACCI: PROYECTO DE LEY QUE DECLARA PATRIMONIO INMATERIAL CULTURAL Y NATURAL DE LA NACION, EN LOS TERMINOS DE LA LEY 26.118, AL ""CHAKU"", PRACTICA ANCESTRAL INCAICA DE CAPTURA, ESQUILA Y LIBERACIÓN DE VICUÑAS."	16/05/2024	41/2024	CORPACCI, LUCÍA BENIGNA	DE EDUCACIÓN Y CULTURA	DE EDUCACIÓN Y CULTURA			
827	2024	PD	S	GALARETTO Y LOSADA: PROYECTO DE DECLARACION QUE DECLARA DE INTERÉS EL XLI CONGRESO DE CARDIOLOGÍA, A REALIZARSE EN LA CDAD. DE ROSARIO PROV. DE SANTA FE, DEL 30 DE MAYO AL 1 DE JUNIO DE 2024	15/05/2024	41/2024	GALARETTO, EDUARDO HORACIO - LOSADA, CAROLINA	DE SALUD				
825	2024	PC	S	PILATTI VERGARA: PROYECTO DE COMUNICACIÓN QUE SOLICITA INFORME SOBRE LA INTENSIÓN DEL GOBIERNO DE DESREGULAR EL NOMENCLADOR DE PRESTACIONES BASICAS PARA LAS PERSONAS CON DISCAPACIDAD, Y OTRAS CUESTIONES CONEXAS.	15/05/2024	41/2024		DE POBLACIÓN Y DESARROLLO  HUMANO				
824	2024	PD	S	LEAVY: PROYECTO DE DECLARACIÓN QUE EXPRESA PREOCUPACION ANTE LA DECISION DEL PEN, DE CERRAR EL INSTITUTO NACIONAL DE AGRICULTURA FAMILIAR, CAMPESINA E INDIGENA, Y EL CONSEJO NACIONAL DE AGRICULTURA FAMILIAR.	15/05/2024	41/2024		DE AGRICULTURA, GANADERÍA Y PESCA				
823	2024	PR	S	"LEWANDOWSKI: PROYECTO DE RESOLUCION QUE DECLARA DE INTERÉS EL LIBRO ""RÉGIMEN Y PROCEDIMIENTOS ADMINISTRATIVOS ESPECIALES"", PUBLICADO POR LA EDITORIAL NOVA TESIS, DE GUSTAVO J. THOMAS Y OTROS AUTORES."	14/05/2024	41/2024	LEWANDOWSKI, MARCELO NÉSTOR	DE EDUCACIÓN Y CULTURA				
821	2024	PR	S	LOUSTEAU: PROYECTO DE RESOLUCION QUE DISPONE UN TOPE EN LA DIETA MENSUAL QUE PERCIBEN LOS SENADORES NACIONALES.	14/05/2024	41/2024		DE ASUNTOS CONSTITUCIONALES	DE TRABAJO Y PREVISIÓN SOCIAL			
820	2024	PL	S	LOUSTEAU: PROYECTO DE LEY QUE MODIFICA SU SIMILAR 24.600 - ESTATUTO DEL PERSONAL LEGISLATIVO -, RESPECTO DE MODIFICAR LAS CONDICIONES DE INGRESO A LA PLANTA PERMANENTE DEL PODER LEGISLATIVO.	14/05/2024	41/2024		DE TRABAJO Y PREVISIÓN SOCIAL				
817	2024	PL	S	LOSADA Y OTROS: PROYECTO DE LEY QUE DISPONE UN NUEVO PLAZO DE EJECUCIÓN DEL PROGRAMA NACIONAL DE ENTREGA VOLUNTARIA DE ARMAS DE FUEGO, CREADO POR LEY 26.216.	13/05/2024	41/2024	LOSADA, CAROLINA	DE SEGURIDAD INTERIOR Y NARCOTRÁFICO				
816	2024	PL	S	LOSADA Y VALENZUELA: PROYECTO DE LEY QUE DECLARA EL ESTADO DE EMERGENCIA EN INFRAESTRUCTURA Y SEGURIDAD VIAL, EN TODAS LAS RUTAS NACIONALES QUE RECORREN EL TERRITORIO DE LA PROV. DE SANTA FE, POR EL PLAZO DE 5 AÑOS.	13/05/2024	41/2024	LOSADA, CAROLINA - VALENZUELA, MERCEDES GABRIELA	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE	DE PRESUPUESTO Y HACIENDA			
815	2024	PD	S	FAMA: PROYECTO DE DECLARACION QUE EXPRESA PREOCUPACIÓN POR LA EXIGUA ILUMINACIÓN DE LA RUTA NACIONAL N° 38, A LA ALTURA DE LA CIRCUNVALACIÓN EN SAN FERNANDO DEL VALLE DE CATAMARCA Y OTRAS CUESTIONES CONEXAS.	13/05/2024	40/2024	FAMA, FLAVIO SERGIO	DE INFRAESTRUCTURA, VIVIENDA Y TRANSPORTE				
813	2024	PD	S	"GIMENEZ: PROYECTO DE DECLARACIÓN QUE EXPRESA BENEPLÁCITO AL 3° ENCUENTRO NACIONAL ""10 AÑOS DE LA RED UNIVERSITARIA DE ECONOMÍA SOCIAL SOLIDARIA"", A REALIZARSE EN C.A.B.A. EL 10 DE MAYO DE 2024."	13/05/2024	40/2024		DE ECONOMÍAS REGIONALES, ECONOMÍA SOCIAL, MICRO, PEQUEÑA Y MEDIANA EMPRESA	DE ECONOMÍAS REGIONALES, ECONOMÍA SOCIAL, MICRO, PEQUEÑA Y MEDIANA EMPRESA			
